,VEG,COLLECT,mean_per,sd,n,SE,time,month,days
1,CANOPY,0,1,0,9,0,0,Initial,0
2,CANOPY,1,0.711212163,0.050192392,9,0.024137438,0.083333,1 month,30.416545
3,CANOPY,2,0.686689775,0.031872268,9,0.015327321,0.66667,8 months,243.33455
4,CANOPY,3,0.55781,0.052337658,9,0.025169093,1,12 months,365
5,CANOPY,4,0.544338367,0.05172608,9,0.024874986,1.66667,20 months,608.33455
6,CANOPY,5,0.442246587,0.069363797,9,0.033356935,2,24 months,730
7,OPEN,0,1,0,9,0,0,Initial,0
8,OPEN,1,0.702875279,0.066028378,9,0.031752938,0.083333,1 month,30.416545
9,OPEN,2,0.688640293,0.039402043,9,0.018948377,0.66667,8 months,243.33455
10,OPEN,3,0.591340619,0.079493507,9,0.038228296,1,12 months,365
11,OPEN,4,0.496474996,0.067495217,8,0.03468568,1.66667,20 months,608.33455
12,OPEN,5,0.417416642,0.119621217,9,0.057525645,2,24 months,730
13,SHRUB,0,1,0,9,0,0,Initial,0
14,SHRUB,1,0.735674416,0.015309408,9,0.007362269,0.083333,1 month,30.416545
15,SHRUB,2,0.700944242,0.045002041,8,0.023126474,0.66667,8 months,243.33455
16,SHRUB,3,0.540854908,0.083209767,9,0.040015439,1,12 months,365
17,SHRUB,4,0.51957752,0.059415295,9,0.028572717,1.66667,20 months,608.33455
18,SHRUB,5,0.477726339,0.109616667,8,0.056331823,2,24 months,730
19,SINGLE-POOL,0,1,,,,0,Initial,0
20,SINGLE-POOL,1,0.98,,,,0.083333,1 month,30.416545
21,SINGLE-POOL,2,0.852,,,,0.66667,8 months,243.33455
22,SINGLE-POOL,3,0.787,,,,1,12 months,365
23,SINGLE-POOL,4,0.67,,,,1.66667,20 months,608.33455
24,SINGLE-POOL,5,0.619,,,,2,24 months,730
25,THREE-POOL,0,1,,,,0,Initial,0
26,THREE-POOL,1,0.9645,,,,0.083333,1 month,30.416545
27,THREE-POOL,2,0.758,,,,0.66667,8 months,243.33455
28,THREE-POOL,3,0.667,,,,1,12 months,365
29,THREE-POOL,4,0.529,,,,1.66667,20 months,608.33455
30,THREE-POOL,5,0.476,,,,2,24 months,730
