ELEV,VEG,PLOT,ID,PRE,COLLECT,POST,REMAINg,REMAINper,COMMENT
LOW,OPEN,LO1,LO1-0,2,0,2,0,1,dummy bag
LOW,OPEN,LO2,LO2-0,2,0,2,0,1,dummy bag
LOW,OPEN,LO3,LO3-0,2,0,2,0,1,dummy bag
LOW,SHRUB,LS1,LS1-0,2,0,2,0,1,dummy bag
LOW,SHRUB,LS2,LS2-0,2,0,2,0,1,dummy bag
LOW,SHRUB,LS3,LS3-0,2,0,2,0,1,dummy bag
LOW,CANOPY,LC1,LC1-0,2,0,2,0,1,dummy bag
LOW,CANOPY,LC2,LC2-0,2,0,2,0,1,dummy bag
LOW,CANOPY,LC3,LC3-0,2,0,2,0,1,dummy bag
MID,OPEN,MO1,MO1-0,2,0,2,0,1,dummy bag
MID,OPEN,MO2,MO2-0,2,0,2,0,1,dummy bag
MID,OPEN,MO3,MO3-0,2,0,2,0,1,dummy bag
MID,SHRUB,MS1,MS1-0,2,0,2,0,1,dummy bag
MID,SHRUB,MS2,MS2-0,2,0,2,0,1,dummy bag
MID,SHRUB,MS3,MS3-0,2,0,2,0,1,dummy bag
MID,CANOPY,MC1,MC1-0,2,0,2,0,1,dummy bag
MID,CANOPY,MC2,MC2-0,2,0,2,0,1,dummy bag
MID,CANOPY,MC3,MC3-0,2,0,2,0,1,dummy bag
HIGH,OPEN,HO1,HO1-0,2,0,2,0,1,dummy bag
HIGH,OPEN,HO2,HO2-0,2,0,2,0,1,dummy bag
HIGH,OPEN,HO3,HO3-0,2,0,2,0,1,dummy bag
HIGH,SHRUB,HS1,HS1-0,2,0,2,0,1,dummy bag
HIGH,SHRUB,HS2,HS2-0,2,0,2,0,1,dummy bag
HIGH,SHRUB,HS3,HS3-0,2,0,2,0,1,dummy bag
HIGH,CANOPY,HC1,HC1-0,2,0,2,0,1,dummy bag
HIGH,CANOPY,HC2,HC2-0,2,0,2,0,1,dummy bag
HIGH,CANOPY,HC3,HC3-0,2,0,2,0,1,dummy bag
LOW,OPEN,LO1,LO1-1,1.352,1,0.82,0.532,0.606508876,
LOW,OPEN,LO2,LO2-1,1.988,1,1.204,0.784,0.605633803,
LOW,OPEN,LO3,LO3-1,1.976,1,1.436,0.54,0.726720648,
LOW,SHRUB,LS1,LS1-1,1.968,1,1.431,0.537,0.727134146,
LOW,SHRUB,LS2,LS2-1,1.952,1,1.418,0.534,0.726434426,
LOW,SHRUB,LS3,LS3-1,2.019,1,1.548,0.471,0.766716196,
LOW,CANOPY,LC1,LC1-1,2.02,1,1.484,0.536,0.734653465,
LOW,CANOPY,LC2,LC2-2,1.998,1,1.217,0.781,0.609109109,
LOW,CANOPY,LC3,LC3-1,2.061,1,1.438,0.623,0.697719554,
MID,OPEN,MO1,MO1-1,2.014,1,1.606,0.408,0.797418073,
MID,OPEN,MO2,MO2-1,2.011,1,1.543,0.468,0.76727996,
MID,OPEN,MO3,MO3-1,1.965,1,1.448,0.517,0.736895674,
MID,SHRUB,MS1,MS1-1,1.994,1,1.473,0.521,0.738716148,
MID,SHRUB,MS2,MS2-2,2.026,1,1.514,0.512,0.747285291,
MID,SHRUB,MS3,MS3-1,1.97,1,1.452,0.518,0.737055838,
MID,CANOPY,MC1,MC1-1,2.009,1,1.481,0.528,0.737182678,
MID,CANOPY,MC2,MC2-2,2.046,1,1.353,0.693,0.661290323,
MID,CANOPY,MC3,MC3-1,2.029,1,1.508,0.521,0.743223263,
HIGH,OPEN,HO1,HO1-1,1.98,1,1.431,0.549,0.722727273,
HIGH,OPEN,HO2,HO2-1,2.055,1,1.398,0.657,0.680291971,
HIGH,OPEN,HS3,HS3-1,1.949,1,1.33,0.619,0.682401231,
HIGH,SHRUB,HO3,HO3-1,2.018,1,1.483,0.535,0.734886026,
HIGH,SHRUB,HS1,HS1-1,1.992,1,1.457,0.535,0.731425703,
HIGH,SHRUB,HS2,HS2-1,2.041,1,1.452,0.589,0.711415973,
HIGH,CANOPY,HC1,HC1-1,2.016,1,1.478,0.538,0.733134921,
HIGH,CANOPY,HC2,HC2-1,1.998,1,1.414,0.584,0.707707708,
HIGH,CANOPY,HC3,HC3-1,1.999,1,1.553,0.446,0.776888444,
LOW,OPEN,LO1,LO1-2,1.974,2,1.395,0.579,0.70668693,
LOW,OPEN,LO2,LO2-2,1.941,2,1.27,0.671,0.654301906,
LOW,OPEN,LO3,LO3-2,1.922,2,1.457,0.465,0.758064516,
LOW,SHRUB,LS1,LS1-2,1.964,2,1.503,0.461,0.765274949,
LOW,SHRUB,LS2,LS2-2,1.982,2,1.468,0.514,0.740665994,
LOW,SHRUB,LS3,LS3-2,2.006,2,1.426,0.58,0.710867398,
LOW,CANOPY,LC1,LC1-2,1.931,2,1.255,0.676,0.64992232,
LOW,CANOPY,LC2,LC2-3,1.968,2,1.439,0.529,0.731199187,
LOW,CANOPY,LC3,LC3-2,2.043,2,1.365,0.678,0.668135095,
MID,OPEN,MO1,MO1-2,2.001,2,1.385,0.616,0.692153923,
MID,OPEN,MO2,MO2-2,2.013,2,1.365,0.648,0.678092399,
MID,OPEN,MO3,MO3-3,2,2,1.237,0.763,0.6185,
MID,SHRUB,MS1,MS1-2,1.988,2,1.413,0.575,0.710764588,
MID,SHRUB,MS3,MS3-2,1.959,2,1.208,0.751,0.616641143,
MID,CANOPY,MC1,MC1-2,2,2,1.428,0.572,0.714,
MID,CANOPY,MC2,MC2-3,1.945,2,1.413,0.532,0.726478149,
MID,CANOPY,MC3,MC3-2,1.89,2,1.213,0.677,0.641798942,
HIGH,OPEN,HO1,HO1-2,1.988,2,1.415,0.573,0.711770624,
HIGH,OPEN,HO2,HO2-2,1.994,2,1.342,0.652,0.673019057,
HIGH,OPEN,HS3,HS3-2,1.991,2,1.404,0.587,0.70517328,
HIGH,SHRUB,HO3,HO3-2,2.005,2,1.415,0.59,0.705735661,
HIGH,SHRUB,HS1,HS1-2,1.991,2,1.369,0.622,0.687594174,
HIGH,SHRUB,HS2,HS2-2,1.994,2,1.336,0.658,0.67001003,
HIGH,CANOPY,HC1,HC1-2,2.059,2,1.393,0.666,0.676542011,
